case,adapt_dt_safety,dt_initial,dt_final,status,num_corridors,max_curvature,avg_curvature,path_efficiency,min_clearance,avg_clearance,elapsed
narrow_channel,0.2,0.0001,3.333333333332778e-06,stable,12,17.244249500654295,1.2358582391452206,1.0581368242641516,0.008635283219363006,0.12273443931281847,18.93
narrow_channel,0.5,0.0001,8.333333333331945e-06,stable,11,14.479683673062352,0.9287431677269274,1.0236460551947746,0.015401711031990678,0.1294828879807065,25.03
narrow_channel,0.8,0.0001,1.3333333333331112e-05,stable,12,14.60010947290593,1.1940305178771207,1.0433443303045247,0.013591254316585987,0.12318577043214511,29.91
s_curve,0.2,0.0001,3.333333333332778e-06,stable,14,15.334639843714733,1.2110662116058617,1.0238159143702483,0.005500554427813994,0.23434332517167933,19.83
s_curve,0.5,0.0001,8.333333333331945e-06,stable,15,16.372088096548712,1.174613943312401,1.0226334680651166,0.010460492929661116,0.23777372459881577,26.04
s_curve,0.8,0.0001,1.3333333333331112e-05,stable,15,16.839371799934415,1.188173381154926,1.0226113904274672,0.010034072615052205,0.23782808899224567,28.97
maze,0.2,0.0001,3.333333333332778e-06,stable,16,21.790904767061658,3.140536481611718,1.0142485090459794,0.0013989035772155431,0.03983177883860796,21.47
maze,0.5,0.0001,8.333333333331945e-06,stable,15,20.512149887245368,3.1743243111220067,1.0147460388149208,0.002594791090596593,0.038065937705243226,25.18
maze,0.8,0.0001,1.3333333333331112e-05,stable,15,13.236698081889795,2.5282185752828967,1.0118638495103183,0.001964631501991895,0.03837953638011141,32.84
