C_max,kappa_max,kappa_mean,kappa_proximity,lam_max,clip_ratio,dt_initial,dt_final,max_curvature,avg_curvature,path_efficiency,min_clearance,avg_clearance,num_corridors,elapsed
5,4.9941,2.0608,0.9988,1.6000e-01,0.5533,1.0000e-04,1.0000e-04,0.0131,0.0017,1.0623,19.7505,157.2607,10,46.23
10,8.3882,3.2384,0.8388,1.6000e-01,0.3556,1.0000e-04,1.0000e-04,0.0101,0.0017,1.0658,15.0872,148.9763,9,49.24
20,11.2000,6.8651,0.5600,1.6000e-01,0.0000,1.0000e-04,1.0000e-04,0.0129,0.0017,1.0619,14.0633,147.8744,11,48.56
30,11.2000,6.8651,0.3733,1.6000e-01,0.0000,1.0000e-04,1.0000e-04,0.0129,0.0017,1.0619,14.0633,147.8744,11,47.57
50,11.2000,6.8651,0.2240,1.6000e-01,0.0000,1.0000e-04,1.0000e-04,0.0129,0.0017,1.0619,14.0633,147.8744,11,49.43
100,11.2000,6.8651,0.1120,1.6000e-01,0.0000,1.0000e-04,1.0000e-04,0.0129,0.0017,1.0619,14.0633,147.8744,11,48.91
