C_max,kappa_max,kappa_mean,kappa_proximity,lam_max,clip_ratio,dt_initial,dt_final,max_curvature,avg_curvature,path_efficiency,min_clearance,avg_clearance,num_corridors,elapsed
5,4.0000,2.1745,0.8000,1.0000e-01,0.1569,1.0000e-04,1.0000e-04,0.0131,0.0016,1.0625,17.5225,149.8907,9,42.33
10,4.0000,2.1745,0.4000,1.0000e-01,0.1569,1.0000e-04,1.0000e-04,0.0131,0.0016,1.0625,17.5225,149.8907,9,44.50
20,16.0000,4.5287,0.8000,1.0000e-01,0.0000,1.0000e-04,1.0000e-04,0.0131,0.0016,1.0624,16.0062,149.8633,9,44.25
30,16.0000,4.5287,0.5333,1.0000e-01,0.0000,1.0000e-04,1.0000e-04,0.0131,0.0016,1.0624,16.0062,149.8633,9,44.16
50,16.0000,4.5287,0.3200,1.0000e-01,0.0000,1.0000e-04,1.0000e-04,0.0131,0.0016,1.0624,16.0062,149.8633,9,43.58
100,16.0000,4.5287,0.1600,1.0000e-01,0.0000,1.0000e-04,1.0000e-04,0.0131,0.0016,1.0624,16.0062,149.8633,9,43.26
