alpha_obs,wind_speed,kappa_max,kappa_mean,kappa_proximity,clip_ratio,lam_max,dt_initial,dt_final,div_L2,div_Linf,status,elapsed
2,0,2.9999999999100004,1.1982697529027684,0.05999999999820001,0.0,0.1,0.0001,0.0001,0.7976119582151067,17.521207669446227,stable,201.59680080413818
2,1,3.1499999999055004,1.2581832405479068,0.06299999999811001,0.0,0.10500000000000001,0.0001,0.0001,0.7939407064664321,17.51325384975692,stable,187.07516860961914
2,2,3.299999999901001,1.3180967281930454,0.06599999999802002,0.0,0.11000000000000001,0.0001,0.0001,0.7905674547214022,17.504023082466585,stable,167.83463549613953
2,3,3.4499999998965,1.3780102158381833,0.06899999999793,0.0,0.11499999999999999,0.0001,0.0001,0.7874659841219279,17.493683965748932,stable,164.30461716651917
2,4,3.5999999998920003,1.4379237034833219,0.07199999999784,0.0,0.12,0.0001,0.0001,0.784608706399485,17.482524789930878,stable,158.94046545028687
2,5,3.7499999998875,1.4978371911284605,0.07499999999775,0.0,0.125,0.0001,0.0001,0.7819784321052411,17.470534005348203,stable,157.75593781471252
2,6,3.899999999883,1.5577506787735989,0.07799999999766,0.0,0.13,0.0001,0.0001,0.7795567033159755,17.457811663268433,stable,127.5036838054657
2,7,4.049999999878501,1.6176641664187372,0.08099999999757002,0.0,0.135,0.0001,0.0001,0.7773268794651482,17.444447077164153,stable,113.82228517532349
2,8,4.199999999874,1.6775776540638756,0.08399999999748,0.0,0.13999999999999999,0.0001,0.0001,0.7752739278711779,17.43052005517668,stable,90.13816285133362
2,9,4.3499999998695,1.737491141709014,0.08699999999739,0.0,0.145,0.0001,0.0001,0.7733842417590059,17.41610197814978,stable,81.49397158622742
2,10,4.499999999865001,1.7974046293541526,0.08999999999730003,0.0,0.15000000000000002,0.0001,0.0001,0.7716454817462798,17.40125674428063,stable,79.74534273147583
4,0,4.999999999750001,1.3965395058112253,0.09999999999500002,0.0,0.1,0.0001,0.0001,0.8114721425753662,18.186632365692926,stable,71.64428806304932
4,1,5.249999999737501,1.4663664811017867,0.10499999999475002,0.0,0.10500000000000001,0.0001,0.0001,0.8073527105935867,18.166424736323734,stable,62.68336892127991
4,2,5.499999999725001,1.5361934563923478,0.10999999999450003,0.0,0.11000000000000001,0.0001,0.0001,0.8035718191132463,18.145375038331423,stable,63.11365008354187
4,3,5.7499999997125,1.6060204316829088,0.11499999999425001,0.0,0.11499999999999999,0.0001,0.0001,0.8000816801074034,18.123482965435294,stable,59.01420545578003
4,4,5.9999999997,1.6758474069734701,0.119999999994,0.0,0.12,0.0001,0.0001,0.7968584217229013,18.100889236670575,stable,56.03171133995056
4,5,6.249999999687501,1.7456743822640315,0.12499999999375001,0.0,0.125,0.0001,0.0001,0.793880033223385,18.077713407013686,stable,54.78170680999756
4,6,6.499999999675,1.8155013575545926,0.1299999999935,0.0,0.13,0.0001,0.0001,0.7911292809557432,18.05410577658073,stable,53.817728996276855
4,7,6.749999999662501,1.885328332845154,0.13499999999325002,0.0,0.135,0.0001,0.0001,0.7885797662661154,18.030055195749288,stable,52.665849685668945
4,8,6.99999999965,1.9551553081357154,0.139999999993,0.0,0.13999999999999999,0.0001,0.0001,0.7862201025654102,18.0056858533264,stable,51.25374102592468
4,9,7.2499999996375,2.0249822834262767,0.14499999999274998,0.0,0.145,0.0001,0.0001,0.7840356833909592,17.981067390491038,stable,53.261298418045044
4,10,7.499999999625001,2.094809258716838,0.14999999999250002,0.0,0.15000000000000002,0.0001,0.0001,0.7820132840812817,17.956261122684698,stable,52.328707456588745
6,0,6.99999999951,1.5948092587153706,0.1399999999902,0.0,0.1,0.0001,0.0001,0.8191936183354515,18.551829992641835,stable,43.24250531196594
6,1,7.3499999994855,1.6745497216511387,0.14699999998971,0.0,0.10500000000000001,0.0001,0.0001,0.8148773698240106,18.52471597359628,stable,43.88345813751221
6,2,7.699999999461,1.7542901845869077,0.15399999998922,0.0,0.11000000000000001,0.0001,0.0001,0.8108770737421704,18.49663892938355,stable,46.018633127212524
6,3,8.049999999436498,1.8340306475226757,0.16099999998872996,0.0,0.11499999999999999,0.0001,0.0001,0.8071530296722543,18.467731311030573,stable,46.353598833084106
6,4,8.399999999411998,1.9137711104584447,0.16799999998823995,0.0,0.12,0.0001,0.0001,0.8037185521583738,18.438402456835263,stable,45.78770613670349
6,5,8.7499999993875,1.993511573394213,0.17499999998774998,0.0,0.125,0.0001,0.0001,0.800536162811863,18.40863725474446,stable,45.857110261917114
6,6,9.099999999363,2.073252036329982,0.18199999998726,0.0,0.13,0.0001,0.0001,0.797587231624044,18.37859101524049,stable,46.139352560043335
6,7,9.4499999993385,2.1529924992657503,0.18899999998677,0.0,0.135,0.0001,0.0001,0.7948538745748001,18.348387500458003,stable,47.98312830924988
6,8,9.799999999313998,2.232732962201519,0.19599999998627995,0.0,0.13999999999999999,0.0001,0.0001,0.7923151797714679,18.31801127035271,stable,45.066147804260254
6,9,10.149999999289498,2.312473425137287,0.20299999998578996,0.0,0.145,0.0001,0.0001,0.7899560184579305,18.287451385061587,stable,43.33695578575134
6,10,10.499999999265,2.3922138880730555,0.2099999999853,0.0,0.15000000000000002,0.0001,0.0001,0.7877646168075706,18.256853930177282,stable,43.90851306915283
8,0,8.999999999189999,1.7930790116152047,0.17999999998379998,0.0,0.1,0.0001,0.0001,0.8243107701002859,18.785022059897983,stable,37.644526720047
8,1,9.449999999149501,1.8827329621959645,0.18899999998299002,0.0,0.10500000000000001,0.0001,0.0001,0.8198074592363993,18.75298289384992,stable,37.36755895614624
8,2,9.899999999109001,1.9723869127767253,0.19799999998218,0.0,0.11000000000000001,0.0001,0.0001,0.8156779094352261,18.72047619497955,stable,39.06943202018738
8,3,10.349999999068498,2.0620408633574847,0.20699999998136995,0.0,0.11499999999999999,0.0001,0.0001,0.8118259797852774,18.68712559382454,stable,41.82473278045654
8,4,10.799999999028,2.1516948139382452,0.21599999998056,0.0,0.12,0.0001,0.0001,0.8082368342348876,18.653205623380273,stable,41.703391313552856
8,5,11.2499999989875,2.2413487645190053,0.22499999997974998,0.0,0.125,0.0001,0.0001,0.8049180493580175,18.619099340723338,stable,41.1718213558197
8,6,11.699999998947,2.331002715099766,0.23399999997894,0.0,0.13,0.0001,0.0001,0.8018354586493301,18.584767771259223,stable,40.765034437179565
8,7,12.1499999989065,2.420656665680526,0.24299999997813,0.0,0.135,0.0001,0.0001,0.7989723353643523,18.550374124274327,stable,42.78458571434021
8,8,12.599999998865998,2.5103106162612865,0.25199999997732,0.0,0.13999999999999999,0.0001,0.0001,0.7963120610983646,18.516038842625974,stable,43.917256593704224
8,9,13.049999998825498,2.599964566842046,0.26099999997650997,0.0,0.145,0.0001,0.0001,0.7938350780139389,18.481682577859964,stable,43.958402156829834
8,10,13.499999998785,2.689618517422807,0.2699999999757,0.0,0.15000000000000002,0.0001,0.0001,0.791527843518302,18.447275080549677,stable,43.463643074035645
10,0,10.999999998789999,1.991348764510727,0.21999999997579997,0.0,0.1,0.0001,0.0001,0.8279827687817894,18.94742671848159,stable,37.32682752609253
10,1,11.549999998729499,2.090916202736263,0.23099999997458998,0.0,0.10500000000000001,0.0001,0.0001,0.8233648571621646,18.911974709317846,stable,38.24257469177246
10,2,12.099999998668999,2.1904836409617996,0.24199999997337998,0.0,0.11000000000000001,0.0001,0.0001,0.819097067218555,18.875970142512806,stable,38.512075662612915
10,3,12.649999998608497,2.2900510791873354,0.25299999997216993,0.0,0.11499999999999999,0.0001,0.0001,0.8151645310415243,18.839615827660865,stable,39.90273070335388
10,4,13.199999998547996,2.3896185174128717,0.2639999999709599,0.0,0.12,0.0001,0.0001,0.8114726646658899,18.802487933805576,stable,41.31100630760193
10,5,13.749999998487498,2.4891859556384084,0.27499999996974994,0.0,0.125,0.0001,0.0001,0.8080542367777902,18.76529205741246,stable,41.86657476425171
10,6,14.299999998426998,2.5887533938639447,0.28599999996854,0.0,0.13,0.0001,0.0001,0.8048752184717053,18.727950571348025,stable,41.61665630340576
10,7,14.849999998366497,2.6883208320894814,0.29699999996732995,0.0,0.135,0.0001,0.0001,0.8019177696966914,18.690597680435566,stable,42.42078185081482
10,8,15.399999998305995,2.7878882703150167,0.30799999996611993,0.0,0.13999999999999999,0.0001,0.0001,0.7991659626047826,18.65337213130355,stable,42.99022889137268
10,9,15.949999998245495,2.8874557085405534,0.3189999999649099,0.0,0.145,0.0001,0.0001,0.7966021964658114,18.616323105500925,stable,44.40830683708191
10,10,16.499999998185,2.9870231467660906,0.3299999999637,0.0,0.15000000000000002,0.0001,0.0001,0.794209630328461,18.57921127426265,stable,46.3420512676239
15,0,15.99999999744,2.48702314673067,0.3199999999488,0.0,0.1,0.0001,0.0001,0.833860835439753,19.197840594270783,stable,40.11856698989868
15,1,16.799999997312,2.6113743040672035,0.33599999994623997,0.0,0.10500000000000001,0.0001,0.0001,0.829057296797737,19.15699366263551,stable,39.6500940322876
15,2,17.599999997184,2.7357254614037374,0.35199999994368,0.0,0.11000000000000001,0.0001,0.0001,0.8246000011497665,19.115618425791755,stable,38.498626470565796
15,3,18.399999997055996,2.8600766187402704,0.3679999999411199,0.0,0.11499999999999999,0.0001,0.0001,0.8204865162804036,19.074195306719158,stable,40.175981760025024
15,4,19.199999996927996,2.9844277760768034,0.38399999993855993,0.0,0.12,0.0001,0.0001,0.8166503789656638,19.032299344707027,stable,41.10767650604248
15,5,19.999999996799996,3.108778933413337,0.39999999993599994,0.0,0.125,0.0001,0.0001,0.8130572216831053,18.990093272622808,stable,41.8631432056427
15,6,20.799999996672,3.233130090749871,0.41599999993344,0.0,0.13,0.0001,0.0001,0.809720049697917,18.948009898574025,stable,40.799232006073
15,7,21.599999996544,3.3574812480864042,0.43199999993088,0.0,0.135,0.0001,0.0001,0.8066080071758042,18.90599483700078,stable,41.305214166641235
15,8,22.399999996415996,3.481832405422937,0.4479999999283199,0.0,0.13999999999999999,0.0001,0.0001,0.803705797784393,18.86421861662309,stable,42.91027784347534
15,9,23.199999996287996,3.6061835627594703,0.4639999999257599,0.0,0.145,0.0001,0.0001,0.80099752257369,18.822780611667945,stable,43.83833336830139
15,10,23.99999999616,3.730534720096005,0.47999999992319997,0.0,0.15000000000000002,0.0001,0.0001,0.798465319365262,18.781545850202928,stable,43.657137870788574
20,0,20.99999999559,2.982697528923666,0.4199999999118,0.0,0.1,0.0001,0.0001,0.8373549425615703,19.34092100556596,stable,37.92450761795044
20,1,22.049999995369497,3.1318324053698494,0.4409999999073899,0.0,0.10500000000000001,0.0001,0.0001,0.8324391949159904,19.296917649432064,stable,37.9015052318573
20,2,23.099999995149,3.2809672818160323,0.46199999990297996,0.0,0.11000000000000001,0.0001,0.0001,0.8278733249884491,19.252464088291145,stable,38.139034032821655
20,3,24.149999994928493,3.4301021582622155,0.48299999989856984,0.0,0.11499999999999999,0.0001,0.0001,0.8236360895070886,19.207858910746513,stable,39.03579616546631
20,4,25.199999994707994,3.5792370347083993,0.5039999998941599,0.0,0.12,0.0001,0.0001,0.8197123130565254,19.16328285964745,stable,40.2514853477478
20,5,26.249999994487496,3.728371911154582,0.5249999998897499,0.0,0.125,0.0001,0.0001,0.8160187983732977,19.118196367691763,stable,41.26788926124573
20,6,27.299999994266997,3.877506787600766,0.54599999988534,0.0,0.13,0.0001,0.0001,0.8125850636209828,19.073347159892297,stable,40.30114698410034
20,7,28.349999994046495,4.02664166404695,0.5669999998809299,0.0,0.135,0.0001,0.0001,0.8093792281448035,19.028641869051622,stable,40.411468267440796
20,8,29.399999993825993,4.175776540493133,0.5879999998765199,0.0,0.13999999999999999,0.0001,0.0001,0.8063849757824584,18.98420943333689,stable,41.16306805610657
20,9,30.44999999360549,4.324911416939315,0.6089999998721098,0.0,0.145,0.0001,0.0001,0.8035874111812704,18.94017329393188,stable,41.60976958274841
20,10,31.499999993385,4.474046293385499,0.6299999998677,0.0,0.15000000000000002,0.0001,0.0001,0.8009697604353024,18.896541513515512,stable,42.83446264266968
25,0,25.99999999324,3.4783719110897153,0.5199999998647999,0.0,0.1,0.0001,0.0001,0.8396744492691454,19.433568232038095,stable,36.744306564331055
25,1,27.299999992902002,3.6522905066442024,0.54599999985804,0.0,0.10500000000000001,0.0001,0.0001,0.8346831444049382,19.387490903312457,stable,37.48582673072815
