mode,max_curvature,num_corridors,coverage_rate,smoothness
axis,6.0277592,60.0,1.0,0.41834119999999997
full,6.495079,58.8,1.0,0.3027616
isotropic,16.2993494,62.6,1.0,0.19442160000000003
